gas_ppm,tilt_deg,vibration_g,label
91.4,2.27,0.046,safe
776.2,34.07,0.318,critical
361.8,13.91,0.213,elevated
311.8,11.62,0.056,elevated
321.1,12.5,0.234,elevated
126.2,11.61,0.289,elevated
731.8,25.42,0.799,critical
428.5,11.46,0.197,elevated
469.9,22.18,0.581,critical
646.7,17.57,0.534,critical
873.1,28.63,0.682,critical
697.6,15.89,0.63,critical
475.7,2.8,0.049,elevated
82.3,29.78,0.518,elevated
363.0,11.52,0.215,elevated
98.6,1.0,0.051,safe
371.4,9.25,0.166,elevated
678.0,34.2,0.729,critical
56.0,0.0,0.053,safe
79.3,3.45,0.043,safe
112.6,0.0,0.056,safe
50.4,1.53,0.045,safe
95.8,4.06,0.056,safe
302.8,10.12,0.214,elevated
560.9,21.92,0.641,critical
789.2,22.75,0.513,critical
55.0,1.59,0.042,safe
240.6,10.67,0.257,elevated
319.3,10.92,0.232,elevated
342.5,7.24,0.321,elevated
483.8,18.91,0.733,critical
157.1,1.17,0.032,safe
326.4,7.59,0.213,elevated
665.5,22.65,0.735,critical
732.9,29.0,0.69,critical
687.7,19.61,0.393,critical
57.1,0.62,0.051,safe
344.0,8.9,0.26,elevated
447.1,3.9,0.067,elevated
298.5,8.36,0.263,elevated
93.2,1.58,0.039,safe
70.4,2.52,0.039,safe
388.6,5.9,0.345,elevated
298.5,9.79,0.324,elevated
347.1,10.4,0.266,elevated
258.0,11.24,0.173,elevated
355.1,15.18,0.13,elevated
56.2,1.45,0.033,safe
249.2,10.06,0.33,elevated
676.7,19.6,0.405,critical
81.2,1.12,0.051,safe
436.4,30.32,0.205,critical
41.6,2.71,0.054,safe
628.9,9.63,0.659,critical
93.3,18.65,0.476,elevated
604.7,30.34,0.714,critical
92.6,2.38,0.034,safe
367.0,6.37,0.279,elevated
213.6,11.76,0.29,elevated
242.0,12.12,0.169,elevated
341.9,11.61,0.211,elevated
739.7,18.99,0.462,critical
327.4,11.26,0.186,elevated
75.5,1.24,0.061,safe
73.6,0.62,0.07,safe
323.7,4.59,0.276,elevated
291.0,10.54,0.256,elevated
335.7,6.41,0.26,elevated
914.4,17.73,0.537,critical
336.8,6.37,0.255,elevated
300.9,8.05,0.269,elevated
669.4,27.45,0.683,critical
285.5,10.99,0.242,elevated
666.0,23.66,0.525,critical
459.1,4.76,0.072,elevated
278.3,13.59,0.354,elevated
81.8,4.19,0.069,safe
74.2,2.63,0.072,safe
526.6,23.92,0.899,critical
92.7,2.05,0.055,safe
489.2,23.08,0.698,critical
673.3,25.12,0.447,critical
88.3,1.78,0.036,safe
170.8,15.11,0.304,elevated
571.2,22.38,0.613,critical
107.1,1.6,0.052,safe
106.1,1.97,0.024,safe
93.0,1.09,0.054,safe
154.6,11.18,0.343,elevated
87.1,3.04,0.078,safe
530.6,25.13,0.59,critical
386.4,5.76,0.227,elevated
226.5,8.16,0.174,elevated
671.0,29.17,0.534,critical
710.1,19.26,0.555,critical
77.0,1.54,0.062,safe
44.7,1.79,0.064,safe
700.1,22.29,0.562,critical
578.1,19.03,0.651,critical
382.8,9.33,0.457,elevated
412.9,5.89,0.109,elevated
527.9,20.45,0.647,critical
318.2,16.17,0.207,elevated
279.0,8.54,0.248,elevated
108.3,19.52,0.47,elevated
762.7,17.45,0.606,critical
241.9,13.79,0.357,elevated
58.8,1.32,0.041,safe
117.0,1.1,0.081,safe
603.5,13.18,0.683,critical
84.3,2.08,0.055,safe
531.3,3.2,0.071,elevated
85.5,15.27,0.548,elevated
83.7,1.62,0.03,safe
218.4,7.89,0.306,elevated
773.9,22.68,0.705,critical
75.8,2.07,0.066,safe
78.5,2.51,0.084,safe
420.4,24.71,0.71,critical
74.0,2.18,0.085,safe
736.2,19.11,0.784,critical
650.1,19.22,0.702,critical
109.6,0.0,0.04,safe
444.2,10.17,0.277,elevated
393.9,12.89,0.211,elevated
410.8,8.05,0.202,elevated
722.5,29.7,0.402,critical
512.5,0.47,0.05,elevated
286.7,6.69,0.184,elevated
93.0,2.75,0.067,safe
71.6,1.4,0.071,safe
780.4,34.48,0.73,critical
81.2,16.42,0.391,elevated
61.5,2.29,0.054,safe
90.3,2.05,0.075,safe
81.9,19.15,0.479,elevated
75.3,2.12,0.088,safe
100.6,1.98,0.101,safe
435.1,11.14,0.326,elevated
619.6,16.8,0.755,critical
325.5,9.54,0.342,elevated
756.0,30.34,0.855,critical
85.2,3.35,0.025,safe
204.4,14.63,0.267,elevated
52.4,1.35,0.041,safe
49.6,2.34,0.078,safe
694.2,28.28,0.677,critical
85.8,16.41,0.396,elevated
85.9,16.25,0.461,elevated
515.4,32.27,0.501,critical
732.5,31.36,0.464,critical
82.2,0.79,0.04,safe
63.8,1.24,0.026,safe
70.7,1.78,0.063,safe
659.3,26.46,0.703,critical
205.4,12.8,0.329,elevated
363.0,13.26,0.276,elevated
379.7,10.23,0.19,elevated
369.6,7.2,0.21,elevated
285.4,9.5,0.314,elevated
325.8,10.9,0.345,elevated
66.9,1.8,0.099,safe
102.9,3.18,0.043,safe
208.5,10.1,0.17,elevated
54.8,2.09,0.038,safe
271.9,8.67,0.317,elevated
336.8,5.73,0.304,elevated
62.3,0.96,0.049,safe
319.2,10.55,0.304,elevated
87.1,1.4,0.027,safe
238.6,11.8,0.318,elevated
315.6,12.28,0.222,elevated
627.5,24.88,0.566,critical
97.0,1.42,0.046,safe
213.1,9.74,0.276,elevated
102.7,1.95,0.041,safe
639.3,19.26,0.437,critical
329.7,16.5,0.318,elevated
552.3,2.7,0.053,elevated
58.4,2.05,0.04,safe
737.4,25.86,0.734,critical
238.4,10.93,0.297,elevated
512.0,20.93,0.658,critical
390.0,8.18,0.33,elevated
307.7,13.27,0.314,elevated
339.0,8.25,0.383,elevated
319.7,9.17,0.397,elevated
96.3,1.56,0.074,safe
579.2,19.78,0.518,critical
95.3,1.41,0.025,safe
65.7,1.21,0.103,safe
325.3,12.45,0.222,elevated
567.8,12.08,0.437,critical
686.2,21.56,0.545,critical
598.1,3.25,0.058,elevated
406.1,21.79,0.727,critical
745.3,22.21,0.764,critical
963.8,22.48,0.601,critical
561.5,2.79,0.058,elevated
395.0,2.55,0.043,elevated
239.9,10.25,0.061,elevated
568.1,26.57,0.728,critical
481.7,37.14,0.399,critical
180.1,7.09,0.196,elevated
647.3,27.51,0.509,critical
309.0,8.07,0.207,elevated
65.7,2.26,0.042,safe
168.1,17.74,0.238,elevated
595.7,26.6,0.649,critical
99.1,1.76,0.079,safe
40.2,1.19,0.075,safe
90.4,1.49,0.038,safe
301.7,10.37,0.185,elevated
123.3,18.88,0.408,elevated
424.6,8.18,0.276,elevated
303.1,10.41,0.142,elevated
368.9,10.36,0.08,elevated
311.6,16.44,0.398,elevated
89.5,2.72,0.016,safe
720.8,20.15,0.609,critical
313.1,7.92,0.235,elevated
298.8,16.18,0.224,elevated
107.7,17.14,0.269,elevated
89.9,1.17,0.065,safe
336.5,7.98,0.371,elevated
639.0,16.82,0.817,critical
198.4,9.64,0.201,elevated
584.3,2.25,0.047,elevated
338.3,8.91,0.309,elevated
507.2,3.24,0.045,elevated
224.9,4.02,0.18,elevated
78.5,0.48,0.063,safe
123.8,3.37,0.046,safe
678.7,28.55,0.574,critical
265.7,10.8,0.252,elevated
594.9,25.2,0.65,critical
81.9,1.1,0.043,safe
597.7,3.63,0.064,elevated
62.9,1.04,0.023,safe
60.4,2.83,0.049,safe
711.6,22.84,0.652,critical
67.1,1.23,0.072,safe
70.1,1.52,0.06,safe
81.4,0.0,0.03,safe
322.1,10.38,0.312,elevated
809.9,25.11,0.558,critical
266.5,10.13,0.401,elevated
85.2,0.7,0.06,safe
345.5,13.59,0.253,elevated
111.0,2.07,0.059,safe
786.1,27.75,0.613,critical
99.3,1.89,0.073,safe
68.0,2.62,0.051,safe
261.7,10.72,0.198,elevated
55.1,1.14,0.024,safe
633.7,28.9,0.78,critical
541.0,17.92,0.686,critical
64.9,1.42,0.086,safe
232.8,9.52,0.248,elevated
84.5,2.38,0.013,safe
86.8,3.37,0.069,safe
111.6,3.28,0.035,safe
720.8,27.63,0.685,critical
644.5,27.62,0.448,critical
111.3,2.96,0.043,safe
539.4,30.92,0.761,critical
284.6,14.59,0.289,elevated
66.8,3.01,0.07,safe
95.6,2.67,0.035,safe
744.8,18.11,0.75,critical
122.9,1.35,0.049,safe
126.3,0.33,0.04,safe
312.1,14.59,0.307,elevated
274.3,13.12,0.372,elevated
58.8,1.73,0.058,safe
81.8,18.42,0.47,elevated
642.4,16.3,0.815,critical
94.3,0.58,0.072,safe
83.4,2.24,0.083,safe
381.8,11.78,0.252,elevated
85.2,2.12,0.008,safe
240.7,7.34,0.216,elevated
63.2,1.98,0.05,safe
770.4,17.04,0.365,critical
331.4,10.17,0.259,elevated
715.9,28.21,0.735,critical
597.6,27.95,0.473,critical
69.1,0.99,0.082,safe
403.7,10.19,0.4,elevated
371.2,13.22,0.229,elevated
644.9,30.53,0.913,critical
701.3,27.77,0.506,critical
501.2,1.85,0.034,elevated
314.6,11.71,0.156,elevated
72.3,3.48,0.073,safe
575.5,15.98,0.526,critical
359.9,6.86,0.278,elevated
554.5,3.46,0.047,elevated
657.7,29.71,0.775,critical
74.9,3.2,0.038,safe
254.7,6.69,0.315,elevated
608.9,27.8,0.569,critical
351.0,15.48,0.215,elevated
527.0,20.89,0.671,critical
326.2,4.07,0.336,elevated
61.8,2.32,0.06,safe
795.2,31.21,0.692,critical
568.3,23.9,0.269,critical
358.9,13.87,0.379,elevated
311.9,12.45,0.125,elevated
408.1,7.29,0.291,elevated
69.6,1.47,0.06,safe
76.3,3.53,0.039,safe
633.2,37.6,0.566,critical
103.3,2.33,0.022,safe
41.0,2.25,0.087,safe
338.6,11.67,0.248,elevated
295.1,13.68,0.232,elevated
231.2,4.1,0.337,elevated
81.4,0.52,0.05,safe
84.8,2.83,0.056,safe
58.6,0.39,0.058,safe
297.6,7.79,0.125,elevated
588.8,22.88,0.634,critical
469.7,17.86,0.851,critical
47.7,2.57,0.043,safe
640.1,29.29,0.769,critical
456.0,1.45,0.054,elevated
636.9,39.48,0.757,critical
295.2,10.55,0.405,elevated
306.3,9.6,0.2,elevated
313.4,13.07,0.336,elevated
80.3,2.58,0.035,safe
741.9,26.38,0.493,critical
434.8,23.63,0.683,critical
283.2,11.94,0.144,elevated
762.1,31.58,0.482,critical
320.8,8.03,0.264,elevated
63.6,2.21,0.048,safe
115.3,2.37,0.037,safe
569.4,25.04,0.704,critical
636.6,14.76,0.415,critical
625.0,23.09,0.636,critical
186.6,10.43,0.247,elevated
424.5,14.17,0.321,elevated
27.6,4.15,0.022,safe
129.3,3.28,0.058,safe
280.5,12.02,0.355,elevated
650.1,28.64,0.509,critical
312.5,11.17,0.164,elevated
76.8,1.55,0.019,safe
76.2,2.33,0.049,safe
271.0,9.08,0.19,elevated
262.5,6.49,0.296,elevated
267.9,11.42,0.23,elevated
66.0,0.68,0.028,safe
398.5,11.7,0.291,elevated
90.3,1.42,0.059,safe
238.7,15.03,0.291,elevated
80.9,16.84,0.526,elevated
600.6,3.04,0.036,elevated
518.4,2.93,0.059,elevated
326.4,16.02,0.19,elevated
205.8,8.8,0.311,elevated
544.3,2.24,0.024,elevated
72.2,3.18,0.062,safe
70.7,3.1,0.049,safe
407.9,12.76,0.3,elevated
231.4,7.48,0.299,elevated
74.0,1.49,0.02,safe
77.7,2.24,0.045,safe
296.1,16.63,0.16,elevated
117.9,2.76,0.085,safe
280.7,16.47,0.178,elevated
676.3,14.34,0.626,critical
286.5,4.72,0.19,elevated
610.8,28.51,0.411,critical
51.7,0.41,0.04,safe
302.3,7.18,0.214,elevated
74.7,5.08,0.049,safe
289.6,12.85,0.165,elevated
260.9,6.8,0.274,elevated
535.6,25.61,0.58,critical
676.5,21.22,0.669,critical
574.1,2.37,0.04,elevated
109.1,2.31,0.045,safe
283.1,9.7,0.169,elevated
559.4,16.29,0.881,critical
572.7,29.0,0.642,critical
102.7,19.45,0.366,elevated
452.1,22.85,0.626,critical
297.1,12.87,0.255,elevated
517.1,2.76,0.067,elevated
65.8,1.57,0.059,safe
296.2,9.34,0.279,elevated
269.9,14.92,0.122,elevated
498.6,31.75,0.559,critical
68.8,2.02,0.053,safe
110.5,2.61,0.077,safe
639.7,31.68,0.458,critical
567.1,3.45,0.043,elevated
105.3,1.51,0.033,safe
357.8,10.85,0.121,elevated
615.7,15.61,0.554,critical
641.2,26.14,0.412,critical
236.8,14.5,0.402,elevated
259.1,12.52,0.322,elevated
93.7,1.34,0.096,safe
134.4,3.12,0.062,safe
67.5,1.14,0.072,safe
72.5,19.37,0.395,elevated
371.7,9.44,0.22,elevated
310.8,12.17,0.137,elevated
90.9,1.8,0.08,safe
88.1,1.4,0.039,safe
81.4,1.18,0.088,safe
320.6,15.02,0.323,elevated
42.7,2.54,0.078,safe
757.0,28.14,0.263,critical
665.2,21.84,0.502,critical
223.2,8.86,0.248,elevated
199.9,13.66,0.182,elevated
382.5,13.52,0.236,elevated
623.5,30.03,0.49,critical
101.1,2.56,0.041,safe
552.8,14.65,0.656,critical
73.4,3.83,0.062,safe
395.7,13.71,0.265,elevated
87.2,2.1,0.0,safe
664.7,24.02,0.831,critical
122.7,2.18,0.064,safe
701.6,23.49,0.57,critical
271.0,10.45,0.223,elevated
84.6,2.5,0.071,safe
96.4,1.23,0.034,safe
587.9,24.6,0.267,critical
339.1,2.34,0.235,elevated
63.1,3.69,0.049,safe
51.3,3.68,0.034,safe
39.5,1.14,0.081,safe
314.3,14.68,0.266,elevated
56.6,2.12,0.053,safe
635.5,19.01,0.693,critical
352.2,11.37,0.076,elevated
307.5,6.11,0.343,elevated
383.5,8.88,0.243,elevated
60.2,1.04,0.05,safe
79.3,3.55,0.052,safe
223.0,5.16,0.176,elevated
746.5,23.86,0.509,critical
73.8,1.71,0.05,safe
87.6,17.44,0.504,elevated
536.1,21.1,0.58,critical
214.2,13.71,0.208,elevated
71.2,0.13,0.063,safe
70.8,0.55,0.0,safe
314.6,5.33,0.348,elevated
87.7,2.54,0.071,safe
92.9,18.86,0.369,elevated
449.6,21.3,0.612,critical
542.7,29.47,0.655,critical
59.5,1.67,0.086,safe
297.7,13.57,0.286,elevated
729.3,27.99,0.672,critical
311.5,10.15,0.236,elevated
352.3,9.39,0.392,elevated
89.1,15.34,0.31,elevated
85.9,0.94,0.022,safe
91.7,2.65,0.053,safe
712.2,16.02,0.594,critical
86.5,2.31,0.087,safe
386.6,11.12,0.184,elevated
482.4,3.39,0.051,elevated
47.9,0.0,0.038,safe
297.2,9.48,0.231,elevated
334.4,10.97,0.192,elevated
102.5,11.61,0.364,elevated
364.4,6.44,0.348,elevated
51.8,1.87,0.054,safe
768.9,25.51,0.594,critical
551.2,3.56,0.039,elevated
792.3,18.3,0.683,critical
338.1,9.97,0.38,elevated
226.3,14.82,0.165,elevated
658.9,25.96,0.639,critical
53.4,2.41,0.024,safe
96.5,1.75,0.019,safe
73.3,1.2,0.06,safe
573.7,35.77,0.429,critical
582.9,21.3,0.823,critical
659.8,29.12,0.608,critical
474.7,2.2,0.114,elevated
85.9,1.47,0.031,safe
91.8,1.15,0.043,safe
649.1,19.82,0.389,critical
351.2,11.33,0.294,elevated
760.1,13.8,0.908,critical
86.3,1.69,0.065,safe
68.7,2.69,0.057,safe
308.0,11.9,0.232,elevated
70.3,1.59,0.039,safe
473.5,2.72,0.076,elevated
115.6,17.08,0.46,elevated
71.1,1.99,0.059,safe
86.0,1.25,0.072,safe
491.6,34.86,0.801,critical
92.5,1.87,0.054,safe
276.4,8.71,0.206,elevated
705.6,29.08,0.466,critical
483.2,2.74,0.07,elevated
823.3,17.5,0.672,critical
619.2,23.08,0.482,critical
692.7,15.14,0.496,critical
296.5,10.81,0.265,elevated
93.3,9.76,0.407,elevated
65.6,2.23,0.045,safe
682.7,13.92,0.447,critical
89.5,0.96,0.054,safe
635.2,19.45,0.37,critical
63.7,0.0,0.039,safe
59.7,2.68,0.052,safe
313.0,11.67,0.24,elevated
86.9,1.28,0.045,safe
76.1,19.38,0.429,elevated
519.1,35.05,0.812,critical
321.9,12.78,0.243,elevated
728.0,25.91,0.393,critical
279.1,12.03,0.282,elevated
55.2,4.27,0.071,safe
694.8,27.83,0.476,critical
526.1,18.4,0.818,critical
101.8,0.2,0.079,safe
57.0,3.16,0.03,safe
634.9,26.92,0.698,critical
212.1,9.09,0.284,elevated
528.1,2.82,0.095,elevated
294.6,10.51,0.309,elevated
93.6,1.1,0.044,safe
40.8,1.68,0.051,safe
108.7,15.48,0.367,elevated
273.2,13.64,0.287,elevated
320.8,7.35,0.294,elevated
104.3,19.6,0.364,elevated
700.5,22.86,0.647,critical
713.8,30.29,0.682,critical
83.5,3.52,0.028,safe
689.2,28.0,0.629,critical
650.0,22.13,0.544,critical
291.6,12.16,0.339,elevated
64.4,16.09,0.357,elevated
556.0,27.99,0.599,critical
233.8,8.69,0.195,elevated
84.5,21.69,0.501,elevated
103.2,1.3,0.101,safe
648.6,28.53,0.312,critical
66.4,1.01,0.03,safe
540.9,23.6,0.702,critical
692.4,23.4,0.593,critical
680.8,25.64,0.494,critical
79.5,0.88,0.048,safe
81.3,0.37,0.082,safe
789.6,37.54,0.708,critical
64.0,2.05,0.022,safe
265.6,11.59,0.135,elevated
325.4,9.44,0.342,elevated
499.7,29.38,0.556,critical
241.1,5.74,0.225,elevated
659.0,32.16,0.539,critical
95.0,2.07,0.049,safe
92.2,1.84,0.028,safe
86.9,2.96,0.023,safe
261.2,7.73,0.186,elevated
550.6,2.97,0.058,elevated
90.3,1.14,0.04,safe
678.9,32.69,0.675,critical
830.1,18.45,0.811,critical
89.2,19.23,0.279,elevated
70.6,2.55,0.014,safe
730.0,35.43,0.786,critical
84.2,1.17,0.066,safe
329.6,11.62,0.266,elevated
827.5,34.97,0.475,critical
100.6,2.25,0.074,safe
376.7,11.63,0.25,elevated
699.7,29.74,0.461,critical
316.9,8.17,0.386,elevated
585.0,23.42,0.593,critical
624.1,27.56,0.558,critical
492.9,33.9,1.042,critical
15.2,2.87,0.081,safe
601.7,21.74,0.723,critical
86.1,1.02,0.053,safe
404.2,10.03,0.236,elevated
85.0,1.94,0.032,safe
669.5,25.2,0.592,critical
637.1,25.99,0.862,critical
746.5,24.06,0.495,critical
240.5,10.93,0.034,elevated
430.0,2.85,0.041,elevated
284.5,10.1,0.273,elevated
53.6,1.06,0.035,safe
55.3,2.37,0.054,safe
537.3,27.13,0.787,critical
525.0,2.53,0.052,elevated
348.0,24.97,0.661,critical
676.0,28.35,0.671,critical
297.3,10.7,0.311,elevated
195.6,7.08,0.201,elevated
208.6,9.61,0.337,elevated
89.5,1.35,0.067,safe
52.0,2.97,0.065,safe
926.0,28.45,0.761,critical
491.9,23.03,0.722,critical
83.7,1.91,0.051,safe
542.7,3.48,0.021,elevated
83.1,1.81,0.064,safe
739.5,28.62,0.428,critical
72.3,3.14,0.074,safe
97.0,2.33,0.073,safe
384.0,8.0,0.235,elevated
108.1,1.75,0.023,safe
89.6,2.2,0.062,safe
101.7,0.6,0.052,safe
313.5,8.84,0.415,elevated
70.5,2.58,0.056,safe
311.9,6.06,0.505,elevated
678.6,27.43,0.613,critical
472.7,24.23,0.362,critical
584.6,24.93,0.658,critical
742.6,32.41,0.694,critical
69.9,0.24,0.034,safe
660.9,34.29,0.724,critical
303.6,9.48,0.198,elevated
114.4,16.0,0.453,elevated
787.4,27.18,0.68,critical
753.9,24.5,0.65,critical
81.6,2.75,0.071,safe
461.8,25.31,0.807,critical
717.0,19.47,0.762,critical
696.8,19.28,0.738,critical
693.2,33.53,0.59,critical
519.3,3.41,0.077,elevated
666.9,25.13,0.37,critical
680.0,19.42,0.563,critical
613.0,25.63,0.665,critical
390.2,4.49,0.264,elevated
113.4,11.74,0.342,elevated
414.8,9.25,0.172,elevated
51.4,0.99,0.057,safe
570.8,22.7,0.505,critical
272.5,10.01,0.363,elevated
304.7,5.96,0.17,elevated
81.2,0.47,0.039,safe
650.6,27.77,0.497,critical
80.9,1.93,0.03,safe
563.3,28.7,0.828,critical
700.9,28.83,0.724,critical
628.5,24.54,0.955,critical
260.8,9.05,0.141,elevated
67.3,11.64,0.46,elevated
668.4,29.01,0.471,critical
67.0,0.79,0.035,safe
709.4,27.09,0.606,critical
593.8,15.35,0.565,critical
311.2,10.84,0.3,elevated
746.9,24.38,0.482,critical
379.0,9.92,0.227,elevated
605.0,26.56,0.56,critical
664.3,25.0,0.402,critical
334.2,7.88,0.369,elevated
88.9,2.39,0.039,safe
712.2,34.7,0.964,critical
791.1,31.69,0.591,critical
745.3,29.04,0.596,critical
111.7,2.63,0.04,safe
272.9,16.96,0.121,elevated
299.8,7.64,0.284,elevated
70.6,1.24,0.041,safe
599.4,2.51,0.097,elevated
561.8,33.41,0.632,critical
304.6,5.88,0.219,elevated
258.5,7.69,0.274,elevated
237.6,7.73,0.231,elevated
629.2,16.19,0.359,critical
77.4,22.17,0.417,elevated
578.2,2.8,0.064,elevated
599.2,23.62,0.67,critical
551.3,23.85,0.401,critical
599.1,25.3,0.741,critical
547.2,33.94,0.64,critical
600.8,30.09,0.528,critical
258.7,12.26,0.239,elevated
577.7,2.94,0.068,elevated
294.1,11.26,0.247,elevated
70.0,2.15,0.064,safe
90.1,2.53,0.028,safe
706.1,21.15,0.719,critical
93.1,0.8,0.064,safe
398.0,6.87,0.175,elevated
55.6,1.85,0.017,safe
282.1,11.99,0.242,elevated
62.2,1.72,0.064,safe
750.1,17.44,0.702,critical
494.6,26.24,0.693,critical
473.1,21.04,0.66,critical
730.7,23.24,0.644,critical
500.2,3.82,0.024,elevated
639.4,30.36,0.462,critical
50.7,1.53,0.044,safe
201.3,7.45,0.122,elevated
64.1,2.84,0.049,safe
676.9,36.86,0.567,critical
254.8,7.65,0.191,elevated
704.6,15.41,0.598,critical
346.3,9.95,0.355,elevated
220.6,17.81,0.104,elevated
86.5,23.17,0.382,elevated
90.3,1.41,0.054,safe
285.2,9.98,0.285,elevated
685.1,20.02,0.727,critical
338.5,9.13,0.415,elevated
630.3,14.33,0.451,critical
462.9,2.48,0.078,elevated
75.3,1.02,0.068,safe
75.3,1.98,0.058,safe
630.5,21.97,0.729,critical
595.1,26.04,0.406,critical
636.1,22.52,0.614,critical
811.2,25.25,0.432,critical
758.6,22.56,0.413,critical
234.2,8.41,0.328,elevated
558.1,32.93,0.672,critical
590.8,33.24,0.485,critical
80.1,1.89,0.068,safe
460.6,36.97,0.506,critical
621.4,21.4,0.691,critical
296.2,10.04,0.266,elevated
353.7,10.08,0.26,elevated
425.3,13.56,0.301,elevated
101.1,0.59,0.049,safe
79.7,2.08,0.047,safe
690.7,27.78,0.864,critical
87.2,2.93,0.069,safe
61.6,3.5,0.071,safe
87.5,2.79,0.047,safe
505.6,27.06,0.551,critical
65.4,2.64,0.023,safe
288.2,7.74,0.229,elevated
715.6,20.95,0.555,critical
205.0,10.58,0.191,elevated
85.6,2.83,0.062,safe
280.8,8.17,0.216,elevated
781.0,19.99,0.646,critical
177.5,17.48,0.016,elevated
263.9,8.31,0.237,elevated
355.0,13.6,0.291,elevated
96.3,0.3,0.083,safe
57.9,1.89,0.049,safe
328.6,15.14,0.221,elevated
563.4,20.03,0.565,critical
82.0,3.06,0.039,safe
118.6,15.19,0.386,elevated
366.3,11.61,0.291,elevated
647.4,25.04,0.445,critical
68.9,20.04,0.426,elevated
96.3,2.69,0.036,safe
573.1,26.38,0.57,critical
45.5,3.31,0.099,safe
117.3,1.89,0.06,safe
94.8,1.18,0.043,safe
343.7,16.04,0.32,elevated
345.6,9.07,0.185,elevated
78.5,0.92,0.059,safe
714.5,18.57,0.638,critical
64.5,2.5,0.055,safe
725.4,30.87,0.531,critical
66.5,2.86,0.045,safe
342.5,8.34,0.207,elevated
762.6,23.87,0.753,critical
602.8,23.52,0.472,critical
857.4,21.1,0.738,critical
66.1,1.49,0.063,safe
616.6,23.85,0.745,critical
98.4,1.84,0.039,safe
397.0,33.52,0.663,critical
129.1,11.74,0.241,elevated
259.7,2.23,0.226,elevated
79.2,11.75,0.352,elevated
630.6,27.53,0.7,critical
689.0,15.87,0.69,critical
82.6,1.65,0.09,safe
91.2,3.91,0.04,safe
95.7,2.04,0.052,safe
360.6,4.72,0.36,elevated
845.8,31.05,0.43,critical
355.5,12.98,0.36,elevated
767.3,29.32,0.55,critical
206.6,7.99,0.347,elevated
677.7,29.67,0.718,critical
356.0,22.08,0.383,critical
88.1,2.62,0.062,safe
446.4,11.77,0.183,elevated
301.6,3.54,0.257,elevated
77.2,1.44,0.032,safe
470.4,1.87,0.053,elevated
112.2,16.18,0.384,elevated
437.5,6.33,0.309,elevated
75.6,1.16,0.064,safe
61.2,1.51,0.044,safe
96.5,2.98,0.03,safe
611.1,18.49,0.433,critical
262.6,9.03,0.239,elevated
307.2,9.57,0.352,elevated
