gas_ppm,tilt_deg,vibration_g,label,gas_risk,tilt_risk,vibration_risk,structural_risk,joint_risk
702.1,32.41,0.461,critical,0.877625,1.0,0.461,0.7305,0.8040625
636.3,16.88,0.466,critical,0.7953749999999999,0.5626666666666666,0.466,0.5143333333333333,0.6548541666666666
51.5,4.09,0.077,safe,0.064375,0.13633333333333333,0.077,0.10666666666666666,0.08552083333333332
68.0,1.99,0.016,safe,0.085,0.06633333333333333,0.016,0.041166666666666664,0.06308333333333334
335.8,11.47,0.326,elevated,0.41975,0.38233333333333336,0.326,0.3541666666666667,0.38695833333333335
327.2,8.25,0.226,elevated,0.409,0.275,0.226,0.2505,0.32975
70.3,2.1,0.052,safe,0.087875,0.07,0.052,0.061,0.07443749999999999
364.7,11.31,0.244,elevated,0.455875,0.377,0.244,0.3105,0.3831875
69.4,2.95,0.064,safe,0.08675000000000001,0.09833333333333334,0.064,0.08116666666666666,0.08395833333333333
273.2,7.49,0.168,elevated,0.34149999999999997,0.24966666666666668,0.168,0.20883333333333334,0.27516666666666667
342.1,12.2,0.387,elevated,0.42762500000000003,0.4066666666666666,0.387,0.3968333333333333,0.41222916666666665
530.6,23.12,0.397,critical,0.66325,0.7706666666666667,0.397,0.5838333333333334,0.6235416666666667
333.0,5.42,0.276,elevated,0.41625,0.18066666666666667,0.276,0.22833333333333333,0.32229166666666664
609.1,27.53,0.567,critical,0.761375,0.9176666666666667,0.567,0.7423333333333333,0.7518541666666667
289.6,11.2,0.176,elevated,0.36200000000000004,0.3733333333333333,0.176,0.2746666666666666,0.31833333333333336
95.2,2.76,0.02,safe,0.11900000000000001,0.092,0.02,0.056,0.08750000000000001
83.5,1.86,0.085,safe,0.104375,0.062000000000000006,0.085,0.07350000000000001,0.0889375
648.1,18.48,0.993,critical,0.810125,0.616,0.993,0.8045,0.8073125
353.0,5.55,0.284,elevated,0.44125,0.185,0.284,0.2345,0.337875
82.3,2.34,0.101,safe,0.102875,0.078,0.101,0.0895,0.0961875
259.1,11.83,0.15,elevated,0.323875,0.3943333333333333,0.15,0.27216666666666667,0.29802083333333335
322.6,9.56,0.373,elevated,0.40325000000000005,0.3186666666666667,0.373,0.3458333333333333,0.37454166666666666
84.3,0.34,0.032,safe,0.105375,0.011333333333333334,0.032,0.021666666666666667,0.06352083333333333
606.4,37.15,0.526,critical,0.758,1.0,0.526,0.763,0.7605
83.9,1.44,0.024,safe,0.10487500000000001,0.048,0.024,0.036000000000000004,0.07043750000000001
590.4,17.49,0.47,critical,0.738,0.583,0.47,0.5265,0.63225
281.5,6.27,0.159,elevated,0.351875,0.209,0.159,0.184,0.2679375
78.8,4.08,0.02,safe,0.09849999999999999,0.136,0.02,0.078,0.08825
220.0,17.67,0.259,elevated,0.275,0.5890000000000001,0.259,0.42400000000000004,0.34950000000000003
99.5,1.17,0.047,safe,0.124375,0.039,0.047,0.043,0.0836875
333.8,11.18,0.236,elevated,0.41725,0.37266666666666665,0.236,0.30433333333333334,0.3607916666666667
64.3,3.63,0.055,safe,0.080375,0.121,0.055,0.088,0.0841875
85.9,0.29,0.057,safe,0.10737500000000001,0.009666666666666665,0.057,0.03333333333333333,0.07035416666666668
98.0,1.73,0.047,safe,0.1225,0.057666666666666665,0.047,0.05233333333333333,0.08741666666666667
506.2,3.62,0.066,elevated,0.63275,0.12066666666666667,0.066,0.09333333333333334,0.3630416666666667
324.0,9.36,0.199,elevated,0.405,0.312,0.199,0.2555,0.33025000000000004
95.5,1.58,0.063,safe,0.119375,0.05266666666666667,0.063,0.057833333333333334,0.08860416666666666
755.6,9.37,0.649,critical,0.9445,0.3123333333333333,0.649,0.4806666666666667,0.7125833333333333
86.3,17.91,0.455,elevated,0.107875,0.597,0.455,0.526,0.3169375
87.2,2.02,0.075,safe,0.109,0.06733333333333333,0.075,0.07116666666666666,0.09008333333333332
724.8,21.11,1.048,critical,0.9059999999999999,0.7036666666666667,1.0,0.8518333333333333,0.8789166666666666
429.8,15.25,0.368,elevated,0.53725,0.5083333333333333,0.368,0.43816666666666665,0.4877083333333333
356.4,12.8,0.133,elevated,0.44549999999999995,0.4266666666666667,0.133,0.2798333333333334,0.3626666666666667
68.0,2.77,0.054,safe,0.085,0.09233333333333334,0.054,0.07316666666666667,0.07908333333333334
647.4,11.73,0.518,critical,0.80925,0.391,0.518,0.4545,0.631875
602.6,22.42,0.604,critical,0.75325,0.7473333333333334,0.604,0.6756666666666666,0.7144583333333333
75.1,1.47,0.037,safe,0.09387499999999999,0.049,0.037,0.043,0.06843749999999998
56.1,2.4,0.039,safe,0.070125,0.08,0.039,0.0595,0.0648125
743.8,30.33,0.791,critical,0.92975,1.0,0.791,0.8955,0.912625
85.5,3.64,0.062,safe,0.106875,0.12133333333333333,0.062,0.09166666666666667,0.09927083333333334
306.3,8.34,0.1,elevated,0.382875,0.27799999999999997,0.1,0.189,0.2859375
651.9,29.31,0.55,critical,0.814875,0.977,0.55,0.7635000000000001,0.7891875
656.0,27.64,0.706,critical,0.82,0.9213333333333333,0.706,0.8136666666666666,0.8168333333333333
672.3,26.19,0.739,critical,0.840375,0.873,0.739,0.806,0.8231875
582.5,31.31,0.319,critical,0.728125,1.0,0.319,0.6595,0.6938124999999999
619.2,26.5,0.422,critical,0.774,0.8833333333333333,0.422,0.6526666666666666,0.7133333333333334
636.6,18.33,0.611,critical,0.7957500000000001,0.611,0.611,0.611,0.7033750000000001
617.2,29.16,0.602,critical,0.7715000000000001,0.972,0.602,0.7869999999999999,0.77925
629.1,26.11,0.818,critical,0.786375,0.8703333333333333,0.818,0.8441666666666666,0.8152708333333334
73.5,16.5,0.42,elevated,0.091875,0.55,0.42,0.485,0.2884375
315.0,7.84,0.193,elevated,0.39375,0.2613333333333333,0.193,0.22716666666666666,0.31045833333333334
98.3,2.34,0.045,safe,0.122875,0.078,0.045,0.0615,0.0921875
89.2,0.0,0.086,safe,0.1115,0.0,0.086,0.043,0.07725
333.1,13.63,0.186,elevated,0.41637500000000005,0.45433333333333337,0.186,0.3201666666666667,0.3682708333333334
68.2,2.48,0.071,safe,0.08525,0.08266666666666667,0.071,0.07683333333333334,0.08104166666666668
91.4,2.27,0.046,safe,0.11425,0.07566666666666667,0.046,0.060833333333333336,0.08754166666666667
776.2,34.07,0.318,critical,0.9702500000000001,1.0,0.318,0.659,0.814625
361.8,13.91,0.213,elevated,0.45225000000000004,0.46366666666666667,0.213,0.3383333333333333,0.3952916666666667
311.8,11.62,0.056,elevated,0.38975000000000004,0.3873333333333333,0.056,0.22166666666666665,0.30570833333333336
321.1,12.5,0.234,elevated,0.40137500000000004,0.4166666666666667,0.234,0.32533333333333336,0.3633541666666667
126.2,11.61,0.289,elevated,0.15775,0.38699999999999996,0.289,0.33799999999999997,0.24787499999999998
731.8,25.42,0.799,critical,0.91475,0.8473333333333334,0.799,0.8231666666666667,0.8689583333333333
428.5,11.46,0.197,elevated,0.535625,0.382,0.197,0.2895,0.4125625
469.9,22.18,0.581,critical,0.587375,0.7393333333333333,0.581,0.6601666666666666,0.6237708333333333
646.7,17.57,0.534,critical,0.8083750000000001,0.5856666666666667,0.534,0.5598333333333334,0.6841041666666667
873.1,28.63,0.682,critical,1.0,0.9543333333333333,0.682,0.8181666666666667,0.9090833333333334
697.6,15.89,0.63,critical,0.872,0.5296666666666667,0.63,0.5798333333333334,0.7259166666666668
475.7,2.8,0.049,elevated,0.594625,0.09333333333333332,0.049,0.07116666666666666,0.3328958333333333
82.3,29.78,0.518,elevated,0.102875,0.9926666666666667,0.518,0.7553333333333334,0.42910416666666673
363.0,11.52,0.215,elevated,0.45375,0.384,0.215,0.2995,0.376625
98.6,1.0,0.051,safe,0.12325,0.03333333333333333,0.051,0.042166666666666665,0.08270833333333333
371.4,9.25,0.166,elevated,0.46425,0.30833333333333335,0.166,0.2371666666666667,0.35070833333333334
678.0,34.2,0.729,critical,0.8475,1.0,0.729,0.8645,0.8560000000000001
56.0,0.0,0.053,safe,0.07,0.0,0.053,0.0265,0.04825
79.3,3.45,0.043,safe,0.09912499999999999,0.115,0.043,0.079,0.08906249999999999
112.6,0.0,0.056,safe,0.14075,0.0,0.056,0.028,0.08437499999999999
50.4,1.53,0.045,safe,0.063,0.051000000000000004,0.045,0.048,0.0555
95.8,4.06,0.056,safe,0.11975,0.13533333333333333,0.056,0.09566666666666666,0.10770833333333332
302.8,10.12,0.214,elevated,0.3785,0.3373333333333333,0.214,0.27566666666666667,0.32708333333333334
560.9,21.92,0.641,critical,0.701125,0.7306666666666667,0.641,0.6858333333333333,0.6934791666666666
789.2,22.75,0.513,critical,0.9865,0.7583333333333333,0.513,0.6356666666666666,0.8110833333333334
55.0,1.59,0.042,safe,0.06875,0.053000000000000005,0.042,0.0475,0.058125
240.6,10.67,0.257,elevated,0.30075,0.3556666666666667,0.257,0.30633333333333335,0.3035416666666667
319.3,10.92,0.232,elevated,0.399125,0.364,0.232,0.298,0.3485625
342.5,7.24,0.321,elevated,0.428125,0.24133333333333334,0.321,0.2811666666666667,0.3546458333333333
483.8,18.91,0.733,critical,0.60475,0.6303333333333333,0.733,0.6816666666666666,0.6432083333333334
157.1,1.17,0.032,safe,0.196375,0.039,0.032,0.035500000000000004,0.1159375
326.4,7.59,0.213,elevated,0.408,0.253,0.213,0.23299999999999998,0.3205
665.5,22.65,0.735,critical,0.831875,0.755,0.735,0.745,0.7884375
732.9,29.0,0.69,critical,0.916125,0.9666666666666667,0.69,0.8283333333333334,0.8722291666666666
687.7,19.61,0.393,critical,0.8596250000000001,0.6536666666666666,0.393,0.5233333333333333,0.6914791666666666
57.1,0.62,0.051,safe,0.07137500000000001,0.020666666666666667,0.051,0.03583333333333333,0.05360416666666667
344.0,8.9,0.26,elevated,0.43,0.2966666666666667,0.26,0.2783333333333333,0.35416666666666663
447.1,3.9,0.067,elevated,0.558875,0.13,0.067,0.0985,0.3286875
298.5,8.36,0.263,elevated,0.373125,0.2786666666666667,0.263,0.27083333333333337,0.3219791666666667
93.2,1.58,0.039,safe,0.1165,0.05266666666666667,0.039,0.04583333333333334,0.08116666666666666
70.4,2.52,0.039,safe,0.08800000000000001,0.084,0.039,0.0615,0.07475000000000001
388.6,5.9,0.345,elevated,0.48575,0.19666666666666668,0.345,0.2708333333333333,0.3782916666666667
298.5,9.79,0.324,elevated,0.373125,0.3263333333333333,0.324,0.32516666666666666,0.3491458333333333
347.1,10.4,0.266,elevated,0.433875,0.3466666666666667,0.266,0.30633333333333335,0.3701041666666667
258.0,11.24,0.173,elevated,0.3225,0.37466666666666665,0.173,0.2738333333333333,0.2981666666666667
355.1,15.18,0.13,elevated,0.443875,0.506,0.13,0.318,0.38093750000000004
56.2,1.45,0.033,safe,0.07025,0.04833333333333333,0.033,0.04066666666666667,0.05545833333333334
249.2,10.06,0.33,elevated,0.3115,0.33533333333333337,0.33,0.33266666666666667,0.32208333333333333
676.7,19.6,0.405,critical,0.845875,0.6533333333333334,0.405,0.5291666666666668,0.6875208333333334
81.2,1.12,0.051,safe,0.1015,0.037333333333333336,0.051,0.04416666666666667,0.07283333333333333
436.4,30.32,0.205,critical,0.5455,1.0,0.205,0.6025,0.5740000000000001
41.6,2.71,0.054,safe,0.052000000000000005,0.09033333333333333,0.054,0.07216666666666667,0.06208333333333334
628.9,9.63,0.659,critical,0.786125,0.321,0.659,0.49,0.6380625
93.3,18.65,0.476,elevated,0.11662499999999999,0.6216666666666666,0.476,0.5488333333333333,0.33272916666666663
604.7,30.34,0.714,critical,0.7558750000000001,1.0,0.714,0.857,0.8064375
92.6,2.38,0.034,safe,0.11574999999999999,0.07933333333333333,0.034,0.056666666666666664,0.08620833333333333
367.0,6.37,0.279,elevated,0.45875,0.21233333333333335,0.279,0.2456666666666667,0.35220833333333335
213.6,11.76,0.29,elevated,0.267,0.392,0.29,0.34099999999999997,0.304
242.0,12.12,0.169,elevated,0.3025,0.40399999999999997,0.169,0.2865,0.2945
341.9,11.61,0.211,elevated,0.42737499999999995,0.38699999999999996,0.211,0.299,0.3631875
739.7,18.99,0.462,critical,0.924625,0.6329999999999999,0.462,0.5475,0.7360625000000001
327.4,11.26,0.186,elevated,0.40924999999999995,0.37533333333333335,0.186,0.2806666666666667,0.3449583333333333
75.5,1.24,0.061,safe,0.094375,0.04133333333333333,0.061,0.051166666666666666,0.07277083333333334
73.6,0.62,0.07,safe,0.092,0.020666666666666667,0.07,0.04533333333333334,0.06866666666666667
323.7,4.59,0.276,elevated,0.404625,0.153,0.276,0.21450000000000002,0.3095625
291.0,10.54,0.256,elevated,0.36375,0.35133333333333333,0.256,0.30366666666666664,0.33370833333333333
335.7,6.41,0.26,elevated,0.41962499999999997,0.21366666666666667,0.26,0.23683333333333334,0.3282291666666667
914.4,17.73,0.537,critical,1.0,0.591,0.537,0.5640000000000001,0.782
336.8,6.37,0.255,elevated,0.42100000000000004,0.21233333333333335,0.255,0.2336666666666667,0.32733333333333337
300.9,8.05,0.269,elevated,0.376125,0.26833333333333337,0.269,0.2686666666666667,0.3223958333333333
669.4,27.45,0.683,critical,0.83675,0.9149999999999999,0.683,0.7989999999999999,0.8178749999999999
285.5,10.99,0.242,elevated,0.356875,0.36633333333333334,0.242,0.3041666666666667,0.3305208333333334
666.0,23.66,0.525,critical,0.8325,0.7886666666666666,0.525,0.6568333333333334,0.7446666666666667
459.1,4.76,0.072,elevated,0.573875,0.15866666666666665,0.072,0.11533333333333332,0.34460416666666666
278.3,13.59,0.354,elevated,0.347875,0.453,0.354,0.40349999999999997,0.37568749999999995
81.8,4.19,0.069,safe,0.10225,0.1396666666666667,0.069,0.10433333333333335,0.10329166666666667
74.2,2.63,0.072,safe,0.09275,0.08766666666666666,0.072,0.07983333333333333,0.08629166666666666
526.6,23.92,0.899,critical,0.65825,0.7973333333333333,0.899,0.8481666666666667,0.7532083333333334
92.7,2.05,0.055,safe,0.115875,0.06833333333333333,0.055,0.06166666666666666,0.08877083333333333
489.2,23.08,0.698,critical,0.6114999999999999,0.7693333333333333,0.698,0.7336666666666667,0.6725833333333333
673.3,25.12,0.447,critical,0.841625,0.8373333333333334,0.447,0.6421666666666667,0.7418958333333333
88.3,1.78,0.036,safe,0.110375,0.059333333333333335,0.036,0.04766666666666666,0.07902083333333333
170.8,15.11,0.304,elevated,0.21350000000000002,0.5036666666666666,0.304,0.40383333333333327,0.30866666666666664
571.2,22.38,0.613,critical,0.7140000000000001,0.746,0.613,0.6795,0.69675
107.1,1.6,0.052,safe,0.133875,0.05333333333333334,0.052,0.05266666666666667,0.09327083333333333
106.1,1.97,0.024,safe,0.132625,0.06566666666666666,0.024,0.044833333333333336,0.08872916666666666
93.0,1.09,0.054,safe,0.11625,0.036333333333333336,0.054,0.04516666666666667,0.08070833333333334
154.6,11.18,0.343,elevated,0.19325,0.37266666666666665,0.343,0.35783333333333334,0.2755416666666667
87.1,3.04,0.078,safe,0.108875,0.10133333333333333,0.078,0.08966666666666667,0.09927083333333334
530.6,25.13,0.59,critical,0.66325,0.8376666666666667,0.59,0.7138333333333333,0.6885416666666666
386.4,5.76,0.227,elevated,0.483,0.192,0.227,0.20950000000000002,0.34625
226.5,8.16,0.174,elevated,0.283125,0.272,0.174,0.223,0.2530625
671.0,29.17,0.534,critical,0.83875,0.9723333333333334,0.534,0.7531666666666668,0.7959583333333333
710.1,19.26,0.555,critical,0.887625,0.642,0.555,0.5985,0.7430625
77.0,1.54,0.062,safe,0.09625,0.051333333333333335,0.062,0.05666666666666667,0.07645833333333334
44.7,1.79,0.064,safe,0.055875,0.059666666666666666,0.064,0.06183333333333334,0.058854166666666666
700.1,22.29,0.562,critical,0.875125,0.743,0.562,0.6525000000000001,0.7638125
578.1,19.03,0.651,critical,0.7226250000000001,0.6343333333333334,0.651,0.6426666666666667,0.6826458333333334
382.8,9.33,0.457,elevated,0.47850000000000004,0.311,0.457,0.384,0.43125
412.9,5.89,0.109,elevated,0.516125,0.19633333333333333,0.109,0.15266666666666667,0.33439583333333334
527.9,20.45,0.647,critical,0.659875,0.6816666666666666,0.647,0.6643333333333333,0.6621041666666667
318.2,16.17,0.207,elevated,0.39775,0.539,0.207,0.373,0.385375
279.0,8.54,0.248,elevated,0.34875,0.2846666666666666,0.248,0.2663333333333333,0.30754166666666666
108.3,19.52,0.47,elevated,0.135375,0.6506666666666666,0.47,0.5603333333333333,0.3478541666666667
762.7,17.45,0.606,critical,0.9533750000000001,0.5816666666666667,0.606,0.5938333333333333,0.7736041666666666
241.9,13.79,0.357,elevated,0.302375,0.4596666666666666,0.357,0.4083333333333333,0.35535416666666664
58.8,1.32,0.041,safe,0.0735,0.044000000000000004,0.041,0.0425,0.057999999999999996
117.0,1.1,0.081,safe,0.14625,0.03666666666666667,0.081,0.058833333333333335,0.10254166666666667
603.5,13.18,0.683,critical,0.754375,0.4393333333333333,0.683,0.5611666666666667,0.6577708333333334
84.3,2.08,0.055,safe,0.105375,0.06933333333333333,0.055,0.06216666666666666,0.08377083333333332
531.3,3.2,0.071,elevated,0.664125,0.10666666666666667,0.071,0.08883333333333333,0.37647916666666664
85.5,15.27,0.548,elevated,0.106875,0.509,0.548,0.5285,0.3176875
83.7,1.62,0.03,safe,0.10462500000000001,0.054000000000000006,0.03,0.042,0.0733125
218.4,7.89,0.306,elevated,0.273,0.263,0.306,0.2845,0.27875
773.9,22.68,0.705,critical,0.967375,0.756,0.705,0.7304999999999999,0.8489374999999999
75.8,2.07,0.066,safe,0.09475,0.06899999999999999,0.066,0.0675,0.081125
78.5,2.51,0.084,safe,0.098125,0.08366666666666665,0.084,0.08383333333333333,0.09097916666666667
420.4,24.71,0.71,critical,0.5255,0.8236666666666667,0.71,0.7668333333333333,0.6461666666666666
74.0,2.18,0.085,safe,0.0925,0.07266666666666667,0.085,0.07883333333333334,0.08566666666666667
736.2,19.11,0.784,critical,0.92025,0.637,0.784,0.7105,0.815375
650.1,19.22,0.702,critical,0.812625,0.6406666666666666,0.702,0.6713333333333333,0.7419791666666666
109.6,0.0,0.04,safe,0.13699999999999998,0.0,0.04,0.02,0.07849999999999999
444.2,10.17,0.277,elevated,0.55525,0.339,0.277,0.30800000000000005,0.43162500000000004
393.9,12.89,0.211,elevated,0.49237499999999995,0.4296666666666667,0.211,0.32033333333333336,0.4063541666666667
410.8,8.05,0.202,elevated,0.5135000000000001,0.26833333333333337,0.202,0.2351666666666667,0.3743333333333334
722.5,29.7,0.402,critical,0.903125,0.99,0.402,0.696,0.7995625
512.5,0.47,0.05,elevated,0.640625,0.015666666666666666,0.05,0.03283333333333333,0.3367291666666667
286.7,6.69,0.184,elevated,0.358375,0.223,0.184,0.20350000000000001,0.2809375
93.0,2.75,0.067,safe,0.11625,0.09166666666666666,0.067,0.07933333333333334,0.09779166666666667
71.6,1.4,0.071,safe,0.0895,0.04666666666666666,0.071,0.05883333333333333,0.07416666666666666
780.4,34.48,0.73,critical,0.9754999999999999,1.0,0.73,0.865,0.92025
81.2,16.42,0.391,elevated,0.1015,0.5473333333333333,0.391,0.4691666666666667,0.2853333333333333
61.5,2.29,0.054,safe,0.076875,0.07633333333333334,0.054,0.06516666666666666,0.07102083333333334
90.3,2.05,0.075,safe,0.112875,0.06833333333333333,0.075,0.07166666666666666,0.09227083333333333
81.9,19.15,0.479,elevated,0.10237500000000001,0.6383333333333333,0.479,0.5586666666666666,0.3305208333333333
75.3,2.12,0.088,safe,0.094125,0.07066666666666667,0.088,0.07933333333333334,0.08672916666666666
100.6,1.98,0.101,safe,0.12575,0.066,0.101,0.0835,0.104625
435.1,11.14,0.326,elevated,0.543875,0.37133333333333335,0.326,0.3486666666666667,0.44627083333333334
619.6,16.8,0.755,critical,0.7745000000000001,0.56,0.755,0.6575,0.716
325.5,9.54,0.342,elevated,0.406875,0.31799999999999995,0.342,0.32999999999999996,0.3684375
756.0,30.34,0.855,critical,0.945,1.0,0.855,0.9275,0.93625
85.2,3.35,0.025,safe,0.1065,0.11166666666666666,0.025,0.06833333333333333,0.08741666666666667
204.4,14.63,0.267,elevated,0.2555,0.4876666666666667,0.267,0.37733333333333335,0.3164166666666667
52.4,1.35,0.041,safe,0.0655,0.045000000000000005,0.041,0.043000000000000003,0.05425000000000001
49.6,2.34,0.078,safe,0.062,0.078,0.078,0.078,0.07
694.2,28.28,0.677,critical,0.86775,0.9426666666666667,0.677,0.8098333333333334,0.8387916666666667
85.8,16.41,0.396,elevated,0.10725,0.547,0.396,0.47150000000000003,0.289375
85.9,16.25,0.461,elevated,0.10737500000000001,0.5416666666666666,0.461,0.5013333333333333,0.30435416666666665
515.4,32.27,0.501,critical,0.64425,1.0,0.501,0.7505,0.697375
732.5,31.36,0.464,critical,0.915625,1.0,0.464,0.732,0.8238125000000001
82.2,0.79,0.04,safe,0.10275000000000001,0.026333333333333334,0.04,0.033166666666666664,0.06795833333333334
63.8,1.24,0.026,safe,0.07975,0.04133333333333333,0.026,0.033666666666666664,0.05670833333333333
70.7,1.78,0.063,safe,0.08837500000000001,0.059333333333333335,0.063,0.06116666666666667,0.07477083333333334
659.3,26.46,0.703,critical,0.824125,0.882,0.703,0.7925,0.8083125
205.4,12.8,0.329,elevated,0.25675000000000003,0.4266666666666667,0.329,0.37783333333333335,0.3172916666666667
363.0,13.26,0.276,elevated,0.45375,0.442,0.276,0.359,0.406375
379.7,10.23,0.19,elevated,0.47462499999999996,0.341,0.19,0.2655,0.37006249999999996
369.6,7.2,0.21,elevated,0.462,0.24000000000000002,0.21,0.225,0.3435
285.4,9.5,0.314,elevated,0.35674999999999996,0.31666666666666665,0.314,0.31533333333333335,0.3360416666666667
325.8,10.9,0.345,elevated,0.40725,0.36333333333333334,0.345,0.35416666666666663,0.3807083333333333
66.9,1.8,0.099,safe,0.083625,0.060000000000000005,0.099,0.0795,0.08156250000000001
102.9,3.18,0.043,safe,0.12862500000000002,0.10600000000000001,0.043,0.07450000000000001,0.10156250000000001
208.5,10.1,0.17,elevated,0.260625,0.33666666666666667,0.17,0.25333333333333335,0.25697916666666665
54.8,2.09,0.038,safe,0.06849999999999999,0.06966666666666667,0.038,0.05383333333333333,0.06116666666666666
271.9,8.67,0.317,elevated,0.339875,0.289,0.317,0.303,0.3214375
336.8,5.73,0.304,elevated,0.42100000000000004,0.191,0.304,0.2475,0.33425000000000005
62.3,0.96,0.049,safe,0.077875,0.032,0.049,0.0405,0.059187500000000004
319.2,10.55,0.304,elevated,0.39899999999999997,0.3516666666666667,0.304,0.3278333333333333,0.3634166666666666
87.1,1.4,0.027,safe,0.108875,0.04666666666666666,0.027,0.03683333333333333,0.07285416666666666
238.6,11.8,0.318,elevated,0.29825,0.39333333333333337,0.318,0.3556666666666667,0.32695833333333335
315.6,12.28,0.222,elevated,0.3945,0.4093333333333333,0.222,0.31566666666666665,0.3550833333333333
627.5,24.88,0.566,critical,0.784375,0.8293333333333333,0.566,0.6976666666666667,0.7410208333333334
97.0,1.42,0.046,safe,0.12125,0.04733333333333333,0.046,0.04666666666666666,0.08395833333333333
213.1,9.74,0.276,elevated,0.266375,0.32466666666666666,0.276,0.30033333333333334,0.2833541666666667
102.7,1.95,0.041,safe,0.12837500000000002,0.065,0.041,0.053000000000000005,0.0906875
639.3,19.26,0.437,critical,0.799125,0.642,0.437,0.5395,0.6693125
329.7,16.5,0.318,elevated,0.41212499999999996,0.55,0.318,0.43400000000000005,0.4230625
552.3,2.7,0.053,elevated,0.690375,0.09000000000000001,0.053,0.07150000000000001,0.3809375
58.4,2.05,0.04,safe,0.073,0.06833333333333333,0.04,0.05416666666666667,0.06358333333333333
737.4,25.86,0.734,critical,0.92175,0.862,0.734,0.798,0.859875
238.4,10.93,0.297,elevated,0.298,0.36433333333333334,0.297,0.33066666666666666,0.31433333333333335
512.0,20.93,0.658,critical,0.64,0.6976666666666667,0.658,0.6778333333333333,0.6589166666666666
390.0,8.18,0.33,elevated,0.4875,0.27266666666666667,0.33,0.30133333333333334,0.39441666666666664
307.7,13.27,0.314,elevated,0.384625,0.4423333333333333,0.314,0.37816666666666665,0.3813958333333333
339.0,8.25,0.383,elevated,0.42375,0.275,0.383,0.329,0.376375
319.7,9.17,0.397,elevated,0.399625,0.30566666666666664,0.397,0.35133333333333333,0.3754791666666667
96.3,1.56,0.074,safe,0.120375,0.052000000000000005,0.074,0.063,0.0916875
579.2,19.78,0.518,critical,0.7240000000000001,0.6593333333333333,0.518,0.5886666666666667,0.6563333333333334
95.3,1.41,0.025,safe,0.119125,0.047,0.025,0.036000000000000004,0.0775625
65.7,1.21,0.103,safe,0.082125,0.04033333333333333,0.103,0.07166666666666666,0.07689583333333333
325.3,12.45,0.222,elevated,0.406625,0.415,0.222,0.3185,0.3625625
567.8,12.08,0.437,critical,0.70975,0.4026666666666667,0.437,0.41983333333333334,0.5647916666666667
686.2,21.56,0.545,critical,0.85775,0.7186666666666667,0.545,0.6318333333333334,0.7447916666666667
598.1,3.25,0.058,elevated,0.747625,0.10833333333333334,0.058,0.08316666666666667,0.4153958333333333
